station,year,day,hour,filename
ABI-L1b-RadC,2023,55,17,OR_ABI-L1b-RadC-M6C13_G18_s20230551701174_e20230551703558_c20230551704005.nc
ABI-L1b-RadC,2023,55,17,OR_ABI-L1b-RadC-M6C13_G18_s20230551706174_e20230551708558_c20230551708597.nc
ABI-L1b-RadC,2023,55,17,OR_ABI-L1b-RadC-M6C13_G18_s20230551711174_e20230551713558_c20230551714006.nc
ABI-L1b-RadC,2023,55,17,OR_ABI-L1b-RadC-M6C13_G18_s20230551716174_e20230551718558_c20230551719004.nc
ABI-L1b-RadC,2023,55,17,OR_ABI-L1b-RadC-M6C13_G18_s20230551721174_e20230551723558_c20230551723599.nc
ABI-L1b-RadC,2023,55,17,OR_ABI-L1b-RadC-M6C13_G18_s20230551726174_e20230551728558_c20230551728599.nc
ABI-L1b-RadC,2023,55,17,OR_ABI-L1b-RadC-M6C13_G18_s20230551731174_e20230551733558_c20230551734000.nc
ABI-L1b-RadC,2023,55,17,OR_ABI-L1b-RadC-M6C13_G18_s20230551736174_e20230551738558_c20230551738597.nc
ABI-L1b-RadC,2023,55,17,OR_ABI-L1b-RadC-M6C13_G18_s20230551741174_e20230551743558_c20230551743597.nc
ABI-L1b-RadC,2023,55,17,OR_ABI-L1b-RadC-M6C13_G18_s20230551746174_e20230551748558_c20230551748588.nc
ABI-L1b-RadC,2023,55,17,OR_ABI-L1b-RadC-M6C13_G18_s20230551751174_e20230551753558_c20230551754003.nc
ABI-L1b-RadC,2023,55,17,OR_ABI-L1b-RadC-M6C13_G18_s20230551756174_e20230551758559_c20230551759003.nc
ABI-L1b-RadC,2023,55,17,OR_ABI-L1b-RadC-M6C14_G18_s20230551701174_e20230551703547_c20230551704003.nc
ABI-L1b-RadC,2023,55,17,OR_ABI-L1b-RadC-M6C14_G18_s20230551706174_e20230551708547_c20230551708599.nc
ABI-L1b-RadC,2023,55,17,OR_ABI-L1b-RadC-M6C14_G18_s20230551711174_e20230551713547_c20230551713599.nc
ABI-L1b-RadC,2023,55,17,OR_ABI-L1b-RadC-M6C14_G18_s20230551716174_e20230551718547_c20230551718592.nc
ABI-L1b-RadC,2023,55,17,OR_ABI-L1b-RadC-M6C14_G18_s20230551721174_e20230551723547_c20230551724001.nc
ABI-L1b-RadC,2023,55,17,OR_ABI-L1b-RadC-M6C14_G18_s20230551726174_e20230551728547_c20230551728597.nc
ABI-L1b-RadC,2023,55,17,OR_ABI-L1b-RadC-M6C14_G18_s20230551731174_e20230551733547_c20230551734012.nc
ABI-L1b-RadC,2023,55,17,OR_ABI-L1b-RadC-M6C14_G18_s20230551736174_e20230551738547_c20230551739001.nc
ABI-L1b-RadC,2023,55,17,OR_ABI-L1b-RadC-M6C14_G18_s20230551741174_e20230551743547_c20230551743595.nc
ABI-L1b-RadC,2023,55,17,OR_ABI-L1b-RadC-M6C14_G18_s20230551746174_e20230551748547_c20230551748597.nc
ABI-L1b-RadC,2023,55,17,OR_ABI-L1b-RadC-M6C14_G18_s20230551751174_e20230551753547_c20230551754001.nc
ABI-L1b-RadC,2023,55,17,OR_ABI-L1b-RadC-M6C14_G18_s20230551756174_e20230551758547_c20230551758595.nc
ABI-L1b-RadC,2023,55,17,OR_ABI-L1b-RadC-M6C15_G18_s20230551701174_e20230551703553_c20230551704000.nc
ABI-L1b-RadC,2023,55,17,OR_ABI-L1b-RadC-M6C15_G18_s20230551706174_e20230551708553_c20230551709001.nc
ABI-L1b-RadC,2023,55,17,OR_ABI-L1b-RadC-M6C15_G18_s20230551711174_e20230551713553_c20230551714009.nc
ABI-L1b-RadC,2023,55,17,OR_ABI-L1b-RadC-M6C15_G18_s20230551716174_e20230551718553_c20230551719008.nc
ABI-L1b-RadC,2023,55,17,OR_ABI-L1b-RadC-M6C15_G18_s20230551721174_e20230551723553_c20230551724006.nc
ABI-L1b-RadC,2023,55,17,OR_ABI-L1b-RadC-M6C15_G18_s20230551726174_e20230551728553_c20230551729011.nc
ABI-L1b-RadC,2023,55,17,OR_ABI-L1b-RadC-M6C15_G18_s20230551731174_e20230551733553_c20230551734003.nc
ABI-L1b-RadC,2023,55,17,OR_ABI-L1b-RadC-M6C15_G18_s20230551736174_e20230551738553_c20230551739003.nc
